'Titulo','Direção','Nota','Link','Ano','Categoria'
'O Óleo De Lorenzo','George Miller','4.6','https://www.adorocinema.com/filmes/filme-35570/','15 de janeiro de 1993','N/A'
'Estrelas Além Do Tempo','Theodore Melfi','3.5','https://www.adorocinema.com/filmes/filme-219070/','2 de fevereiro de 2017','N/A'
'Star Wars: O Retorno De Jedi','Richard Marquand','4.6','https://www.adorocinema.com/filmes/filme-25803/','6 de outubro de 1983','N/A'
'Túmulo Dos Vaga-Lumes','Isao Takahata','4.6','https://www.adorocinema.com/filmes/filme-10251/','1988','N/A'
'Sociedade Dos Poetas Mortos','Peter Weir','4.6','https://www.adorocinema.com/filmes/filme-5280/','28 de fevereiro de 1990','N/A'
'Scarface','Brian De Palma','4.6','https://www.adorocinema.com/filmes/filme-900/','13 de janeiro de 1984','N/A'
'Star Wars: O Despertar Da Força','J.J. Abrams','4.1','https://www.adorocinema.com/filmes/filme-215097/','17 de dezembro de 2015','N/A'
'Como Treinar O Seu Dragão 2','Dean DeBlois','4.0','https://www.adorocinema.com/filmes/filme-181290/','19 de junho de 2014','N/A'
'Guardiões Da Galáxia','James Gunn','3.8','https://www.adorocinema.com/filmes/filme-196604/','31 de julho de 2014','N/A'
'Pulp Fiction - Tempo De Violência','Quentin Tarantino','4.6','https://www.adorocinema.com/filmes/filme-10126/','18 de fevereiro de 1995','N/A'
'O Garoto','Charles Chaplin','4.6','https://www.adorocinema.com/filmes/filme-2255/','6 de maio de 1921','N/A'
'A Viagem De Chihiro','Hayao Miyazaki','4.6','https://www.adorocinema.com/filmes/filme-37485/','18 de julho de 2003','N/A'
'Klaus','Sergio Pablos','4.6','https://www.adorocinema.com/filmes/filme-262273/','8 de abril de 2020','N/A'
'Um Estranho No Ninho','N/A','4.6','https://www.adorocinema.com/filmes/filme-2072/','28 de maio de 1976','N/A'
'Mary & Max - Uma Amizade Diferente','Adam Elliot','4.6','https://www.adorocinema.com/filmes/filme-139621/','16 de abril de 2010','N/A'
'Os Dez Mandamentos','N/A','4.6','https://www.adorocinema.com/filmes/filme-81064/','4 de janeiro de 1957','N/A'
'Rocky, Um Lutador','John G. Avildsen','4.6','https://www.adorocinema.com/filmes/filme-28251/','7 de janeiro de 1977','N/A'
'Mulan','Tony Bancroft.                                                                                                                                                                                                                                Barry Cook','4.6','https://www.adorocinema.com/filmes/filme-18793/','1 de julho de 1998','N/A'
'Prenda-Me Se For Capaz','Steven Spielberg','4.6','https://www.adorocinema.com/filmes/filme-35973/','21 de fevereiro de 2003','N/A'
'Harry Potter E O Cálice De Fogo','Mike Newell','4.6','https://www.adorocinema.com/filmes/filme-53756/','25 de novembro de 2005','N/A'
'Os Bons Companheiros','Martin Scorsese','4.5','https://www.adorocinema.com/filmes/filme-5969/','1990','N/A'
'Whiplash - Em Busca Da Perfeição','Damien Chazelle','4.2','https://www.adorocinema.com/filmes/filme-225953/','8 de janeiro de 2015','N/A'
'Harry Potter E A Pedra Filosofal','Chris Columbus','4.5','https://www.adorocinema.com/filmes/filme-29276/','23 de novembro de 2001','N/A'
